"iter","model","nri_value","nri_ci","nri_p","idi_value","idi_ci","idi_p"
64,"test_full","0.2917","-0.0844 - 0.6678","0.12851","0.0659","-0.1723 - 0.304","0.58775"
64,"train_clin","0.0526","-0.2448 - 0.3501","0.72874","0.1861","0.0716 - 0.3005","0.00144"
64,"train_full","0.3008","0.0548 - 0.5467","0.01654","0.1861","0.0716 - 0.3005","0.00144"
66,"test_clin","0.125","-0.3907 - 0.6407","0.63473","0.1707","-0.0582 - 0.3996","0.1438"
66,"test_full","0.4167","-0.0064 - 0.8397","0.05355","0.1707","-0.0582 - 0.3996","0.1438"
66,"train_clin","0.1767","-0.0998 - 0.4532","0.21036","0.2071","0.0837 - 0.3305","0.001"
66,"train_full","0.391","0.117 - 0.6649","0.00515","0.2071","0.0837 - 0.3305","0.001"
67,"test_clin","-0.5","-0.9001 - -0.0999","0.01431","0.1557","-0.0351 - 0.3465","0.10969"
67,"test_full","0.625","0.2895 - 0.9605","0.00026","0.1557","-0.0351 - 0.3465","0.10969"
67,"train_clin","0.3722","0.0371 - 0.7073","0.02948","0.4913","0.3585 - 0.6241","0"
67,"train_full","0.6429","0.3919 - 0.8939","0","0.4913","0.3585 - 0.6241","0"
69,"test_clin","-0.0833","-0.5653 - 0.3987","0.73471","0.3797","0.042 - 0.7175","0.02754"
69,"test_full","0.875","0.6458 - 1.1042","0","0.3797","0.042 - 0.7175","0.02754"
69,"train_clin","0.3722","0.1018 - 0.6425","0.00697","0.4592","0.363 - 0.5553","0"
69,"train_full","0.5188","0.2408 - 0.7968","0.00025","0.4592","0.363 - 0.5553","0"
70,"test_clin","-0.1667","-0.4649 - 0.1315","0.27332","0.2236","0.0506 - 0.3965","0.01129"
70,"test_full","0.25","-0.3009 - 0.8009","0.37373","0.2236","0.0506 - 0.3965","0.01129"
70,"train_clin","0.2481","-0.0549 - 0.5512","0.10856","0.3449","0.2126 - 0.4771","0"
70,"train_full","0.4286","0.1693 - 0.6878","0.00119","0.3449","0.2126 - 0.4771","0"
72,"test_clin","0.125","-0.3907 - 0.6407","0.63473","0.2019","-0.0731 - 0.4769","0.15023"
72,"test_full","0.2917","-0.304 - 0.8874","0.33724","0.2019","-0.0731 - 0.4769","0.15023"
72,"train_clin","0.1767","-0.0998 - 0.4532","0.21036","0.3263","0.2194 - 0.4332","0"
72,"train_full","0.6053","0.3092 - 0.9013","6e-05","0.3263","0.2194 - 0.4332","0"
73,"test_clin","-0.3333","-0.7105 - 0.0439","0.08326","0.1304","-0.0679 - 0.3287","0.19755"
73,"test_full","0","0 - 0",NA,"0.1304","-0.0679 - 0.3287","0.19755"
73,"train_clin","0.3008","-0.015 - 0.6165","0.0619","0.3399","0.2041 - 0.4757","0"
73,"train_full","0.5338","0.2402 - 0.8275","0.00037","0.3399","0.2041 - 0.4757","0"
74,"test_clin","-0.125","-0.6407 - 0.3907","0.63473","0.3286","0.073 - 0.5842","0.01176"
74,"test_full","0.5","0.0999 - 0.9001","0.01431","0.3286","0.073 - 0.5842","0.01176"
74,"train_clin","0.4248","0.1423 - 0.7073","0.0032","0.4489","0.3448 - 0.5529","0"
74,"train_full","0.6241","0.3461 - 0.9021","1e-05","0.4489","0.3448 - 0.5529","0"
75,"test_clin","0.125","-0.3907 - 0.6407","0.63473","0.2953","0.099 - 0.4916","0.00319"
