,Metabolite,edf,p_smooth,AIC_smooth,AIC_linear,Estimate_age,StdErr_age,p_age,original_name,suitble1,suitble2,suitble for lm
meta175,meta175,1.000144112,0.031735597,184.6988596,184.6984176,0.036257322,0.016442043,0.031721289,S-Adenosylmethionine,1,1,1
meta176,meta176,1.000089316,0.588666679,138.5720139,138.5716803,0.00592646,0.010891643,0.588592404,Alpha-Tocopherol,1,1,1
meta177,meta177,1.00000294,0.554946946,212.7327454,212.7327358,-0.012545892,0.021118471,0.554944686,Bilirubin,1,1,1
meta178,meta178,1.000046558,0.375015231,124.194356,124.1942086,0.008569482,0.009579501,0.374989947,1-Methyladenosine,1,1,1
meta179,meta179,1.258647887,0.557657159,180.2825954,179.9104555,0.013131175,0.015753963,0.408225779,Serotonin,1,1,1
meta180,meta180,1.000042667,0.261714059,147.4312604,147.4311106,0.013370862,0.011788186,0.261695904,Xanthurenic acid,1,1,1
meta181,meta181,1.000056902,0.657666919,148.1017429,148.1015277,-0.005285292,0.01185896,0.657610754,4-Trimethylammoniobutanoic acid,1,1,1
meta182,meta182,1.000171756,0.488101581,156.7264379,156.7260001,0.008943983,0.01280823,0.487986158,Epinephrine,1,1,1
meta183,meta183,1.000136041,0.193860654,238.5764362,238.5759015,0.034998581,0.026599452,0.193812355,Indolepyruvate,1,1,1
meta184,meta184,1.00020269,0.413492811,147.1835594,147.183083,0.009695932,0.011762109,0.413374944,1-Methylguanosine,1,1,1
meta185,meta185,1.0003619,0.21508794,235.1932959,235.1923609,0.032383941,0.025807894,0.214952381,Normetanephrine,1,1,1
