,Metabolite,edf,p_smooth,AIC_smooth,AIC_linear,Estimate_age,StdErr_age,p_age,original_name,suitble1,suitble2,suitble for lm
meta153,meta153,1.000093339,0.18689967,236.0581118,236.0577672,0.012847749,0.009665058,0.18686743,Carnitine,1,1,1
meta154,meta154,1.000092148,0.244595025,236.3126006,236.312252,0.011330162,0.009677488,0.244557381,Phenylalanine,1,1,1
meta155,meta155,1.159635963,0.269717204,260.3198324,260.0615107,0.013790169,0.010910745,0.209292307,1-Methyl-histidine,1,1,1
meta156,meta156,1.000093304,0.23851139,240.3334137,240.33307,0.011714101,0.009876019,0.238473855,Arginine,1,1,1
meta157,meta157,1.000254057,0.188825047,290.1286051,290.1278928,0.016810047,0.012699956,0.188736961,Indoleacetic acid,1,1,1
meta158,meta158,1.000637409,0.906613522,329.8475304,329.8459413,0.001869297,0.015521012,0.904386472,Glucosamine,1,1,1
meta159,meta159,1.000091553,0.230260694,238.3994995,238.3991608,0.011808135,0.009780027,0.230224629,Tyrosine,1,1,1
meta160,meta160,1.000083097,0.317571183,255.7342844,255.7339615,0.010725261,0.010674864,0.317530949,N8-Acetylspermidine,1,1,1
meta161,meta161,1.000182176,0.668826093,271.4603149,271.459675,0.004961776,0.011557269,0.668641858,Acetylcarnitine,1,1,1
meta162,meta162,1.000093433,0.351972399,237.9877171,237.9873807,0.009128872,0.009759709,0.351923984,Tryptophan,1,1,1
meta163,meta163,1.000092624,0.09199076,241.0643132,241.0639713,0.016870502,0.009912543,0.09197067,Indolelactic acid,1,1,1
meta164,meta164,1.000091365,0.158705675,242.9082085,242.9078653,0.014212208,0.010005286,0.15867733,Kynurenine,1,1,1
meta165,meta165,1.000188528,0.059628465,359.7238974,359.7231878,-0.034403134,0.018048993,0.059598041,3-Hydroxy-kynurenin,1,1,1
meta166,meta166,1.288592815,0.866484579,370.4266173,370.0448795,-0.00144233,0.019014839,0.939692377,Melatonin,1,1,1
meta167,meta167,1.000097023,0.688245787,278.7133587,278.7130189,0.004826346,0.011988497,0.688142025,Cystine,1,1,1
meta168,meta168,1.00009528,0.068474004,259.4931895,259.4928626,0.020045357,0.010879455,0.068457113,Cytidine,1,1,1
meta169,meta169,1.000032266,0.195567924,364.1130469,364.1129544,-0.024050643,0.018453618,0.195556662,N1-Acetylspermine,1,1,1
meta170,meta170,1.000092034,0.326448104,247.407822,247.4074652,0.010095815,0.010235262,0.326402745,Uridine,1,1,1
meta171,meta171,1.000347475,0.1254859,379.3277761,379.3267102,0.030805175,0.019927438,0.125393062,Adenosine,1,1,1
meta172,meta172,1.000089673,0.108015541,291.1851997,291.1848851,0.020712894,0.012767934,0.10799388,Inosine,1,1,1
meta173,meta173,1.000335479,0.484641817,343.0790938,343.0782402,0.011647238,0.016593723,0.484418418,6-Methyladenosine,1,1,1
meta174,meta174,1.438952342,0.653873864,422.3745705,421.8939583,0.015729733,0.024706928,0.525850669,Guanosine monophosphate,1,1,1
meta175,meta175,1.000075002,0.15781259,314.8894205,314.8892126,0.02048718,0.014391758,0.157789594,S-Adenosylmethionine,1,1,1
meta176,meta176,1.000109037,0.189920529,243.4495991,243.4492016,0.01324492,0.010032678,0.18988247,Alpha-Tocopherol,1,1,1
meta177,meta177,1.00017641,0.484944524,259.2333694,259.2327358,0.00761919,0.010865171,0.484826627,Bilirubin,1,1,1
meta178,meta178,1.001314501,0.590706545,368.5756149,368.5726377,-0.010214442,0.018873977,0.589616137,1-Methyladenosine,1,1,1
meta179,meta179,1.000203584,0.654983622,264.9396485,264.9389787,0.005015622,0.011182855,0.654785488,Serotonin,1,1,1
meta180,meta180,1.000236612,0.339184814,257.9750403,257.9743471,0.01037261,0.010796337,0.339065292,Xanthurenic acid,1,1,1
meta181,meta181,1.000234847,0.535105521,245.3980392,245.3973962,0.00630928,0.01013188,0.534932656,4-Trimethylammoniobutanoic acid,1,1,1
meta182,meta182,1.000098273,0.206867123,255.1308973,255.1305469,0.013524583,0.010642381,0.206830932,Epinephrine,1,1,1
meta183,meta183,1.000445457,0.211780735,411.5725465,411.5712944,-0.029489204,0.023451842,0.211614606,Indolepyruvate,1,1,1
meta184,meta184,1.000093087,0.133031185,274.89029,274.8899285,0.017816129,0.011759237,0.133005308,1-Methylguanosine,1,1,1
meta185,meta185,1.000115837,0.512457584,401.6082843,401.6078501,-0.014664283,0.022300935,0.512375978,Normetanephrine,1,1,1
